Название	x	y	h
P402 	66275,47	55577,356	141,0
P403 	66095,51	56130,446	140,2
P404 	66120,577	55863,68	140,6
P405 	66328,458	55542,586	140,8
P406 	66199,636	56172,229	139,8
P407 	66235,879	55485,639	141,3
P408 	66283,443	56225,74	139,6
P409 	66165,658	55465,312	141,7
P41 	68059,277	56144,228	143,7
P410 	66197,132	55996,6	140,0
P411 	66222,2	56161,396	139,8
P412 	66092,417	55451,748	141,9
P413 	66186,89	56043,321	140,1
P414 	66139,492	56096,47	140,1
P415 	66006,088	55448,302	142,1
P416 	66053,65	56021,718	140,6
P417 	65995,159	55486,488	143,6
P418 	66033,38	55922,837	140,8
P419 	65979,41	55946,934	141,1
P42 	67975,008	56150,849	143,4
P420 	65876,483	55856,144	142,3
P421 	65910,437	55803,931	142,1
P422 	65823,88	55802,062	143,2
P423 	66975,618	54817,985	142,7
P424 	67018,661	54805,517	142,1
P425 	67014,463	54916,467	141,4
P426 	66712,29	54627,525	143,9
P427 	67130,456	54771,574	141,4
P428 	67007,935	55028,013	140,8
P429 	66820,033	54747,828	143,5
P43 	67972,461	56144,253	143,8
P430 	67231,892	54738,703	140,8
P431 	67014,207	55152,131	140,1
P432 	66824,148	54849,68	144,7
P433 	66828,618	54858,268	141,6
P434 	67332,402	54705,767	140,1
P435 	66938,828	55202,272	139,9
P436 	66730,099	54889,706	140,8
P437 	67440,31	54672,316	139,5
P438 	66904,825	55134,585	140,2
P439 	66778,023	54949,761	140,7
P44 	67958,435	56142,147	143,9
P440 	66919,008	55042,916	140,6
P441 	66875,267	54942,503	141,0
P442 	66945,957	54951,034	141,2
P443 	66918,583	54890,38	141,5
P444 	67492,716	54746,862	139,1
P445 	67072,874	54821,786	141,7
P446 	67056,768	54885,037	141,4
P447 	67546,646	54817,106	138,8
P448 	67186,943	54830,667	140,9
P449 	67169,227	54908,54	140,7
P45 	68061,231	56108,539	144,4
P450 	67273,406	54932,078	140,0
P451 	67299,124	54836,057	140,2
P452 	67421,262	54807,632	139,5
P453 	67394,35	54866,358	139,5
P454 	67408,103	54952,908	139,2
P455 	67404,65	54726,71	139,6
P456 	67494,95	54889,912	138,9
P457 	67479,433	54699,337	139,3
P458 	67551,093	54632,261	139,1
P459 	67323,624	54786,459	140,2
P46 	68062,195	56111,983	144,8
P460 	67383,054	54871,906	139,6
P461 	67187,099	54785,645	141,1
P462 	67215,932	54844,566	140,7
P463 	66574,967	54938,245	141,2
P464 	66068,825	55086,904	142,7
P465 	66166,024	54793,505	143,4
P466 	66612,448	55020,269	141,1
P467 	66023,037	55108,646	142,8
P468 	66135,776	54919,122	142,9
P469 	66071,39	55125,241	142,7
P47 	68085,561	56760,148	139,4
P470 	66593,416	55063,964	141,1
P471 	66168,303	55162,682	142,4
P472 	66200,711	55035,474	147,2
P473 	66515,132	55064,162	141,5
P474 	66262,286	55199,934	141,9
P475 	66069,057	55064,73	147,5
P476 	66449,421	54975,326	141,7
P477 	66266,542	55289,187	141,8
P478 	66361,655	55026,35	142,1
P479 	65908,767	54941,441	146,8
P48 	68018,533	56583,846	139,9
P480 	66143,455	55311,376	142,1
P481 	66284,662	55061,267	142,4
P482 	66072,892	55311,902	142,2
P483 	66021,409	55305,199	142,2
P484 	65897,612	55140,795	147,7
P485 	66318,249	55140,045	142,0
P486 	65910,176	55140,024	143,1
P487 	66005,441	55425,224	142,4
P488 	66351,516	55202,486	141,6
P489 	65947,355	55102,375	142,7
P49 	67980,971	56586,125	139,7
P490 	66013,102	55130,306	142,6
P491 	65990,357	55559,692	142,6
P492 	66017,699	55166,3	143,0
P493 	65981,92	55548,645	142,7
P494 	66262,647	55118,181	142,4
P495 	65966,052	55558,999	142,3
P496 	66173,446	55069,569	142,5
P497 	65870,868	55510,346	143,7
P498 	65883,456	55509,413	142,6
P499 	65885,542	55458,52	144,5
P5 	67977,951	57374,815	143,6
P50 	67957,368	56580,278	142,9
P500 	65899,175	55468,528	142,6
P501 	65902,779	55451,687	142,2
P502 	65986,131	55486,307	142,6
P503 	65988,621	55464,622	142,3
P504 	65959,838	55430,141	142,6
P505 	65999,772	55380,007	143,0
P506 	66001,51	55367,69	143,2
P507 	65842,243	54872,918	142,7
P508 	65905,527	55347,263	143,0
P509 	65819,883	54867,423	148,1
P51 	68032,034	56781,952	140,1
P510 	65950,819	55286,112	142,6
P511 	66012,188	55271,12	143,1
